[2022-11-05 04:09:02.307633] Process 0. Episode 50, average_reward -0.080000
Episode 22450: Total Loss of tensor([[15.1643]], grad_fn=<SubBackward0>)
[2022-11-05 23:32:52.440272] Process 5. Episode 23100, average_reward -0.070087
Episode 23100: Total Loss of tensor([[8.8997]], grad_fn=<SubBackward0>)
[2022-11-05 23:33:53.325738] Process 3. Episode 22850, average_reward -0.072298
Episode 22850: Total Loss of tensor([[8.0378]], grad_fn=<SubBackward0>)
[2022-11-05 23:34:03.750233] Process 4. Episode 24400, average_reward -0.072008
Episode 24400: Total Loss of tensor([[3.1388]], grad_fn=<SubBackward0>)
[2022-11-05 23:34:11.586534] Process 2. Episode 23400, average_reward -0.074744
Episode 23400: Total Loss of tensor([[-8.4809]], grad_fn=<SubBackward0>)
[2022-11-05 23:34:31.623402] Process 0. Episode 23000, average_reward -0.069565
Episode 23000: Total Loss of tensor([[9.8674]], grad_fn=<SubBackward0>)
[2022-11-05 23:34:55.788072] Process 1. Episode 22500, average_reward -0.068800
Episode 22500: Total Loss of tensor([[12.8733]], grad_fn=<SubBackward0>)
[2022-11-05 23:35:26.503235] Process 5. Episode 23150, average_reward -0.070022
Episode 23150: Total Loss of tensor([[-0.0428]], grad_fn=<SubBackward0>)
[2022-11-05 23:36:25.253159] Process 3. Episode 22900, average_reward -0.072314
Episode 22900: Total Loss of tensor([[6.4998]], grad_fn=<SubBackward0>)
[2022-11-05 23:36:25.597021] Process 4. Episode 24450, average_reward -0.072025
Episode 24450: Total Loss of tensor([[0.8655]], grad_fn=<SubBackward0>)
[2022-11-05 23:36:30.683301] Process 2. Episode 23450, average_reward -0.074797
Episode 23450: Total Loss of tensor([[1.7273]], grad_fn=<SubBackward0>)
[2022-11-05 23:36:57.731163] Process 0. Episode 23050, average_reward -0.069588
Episode 23050: Total Loss of tensor([[4.7109]], grad_fn=<SubBackward0>)
[2022-11-05 23:37:29.023794] Process 1. Episode 22550, average_reward -0.068914
Episode 22550: Total Loss of tensor([[-121.0364]], grad_fn=<SubBackward0>)
[2022-11-05 23:38:02.927647] Process 5. Episode 23200, average_reward -0.070086
Episode 23200: Total Loss of tensor([[9.9108]], grad_fn=<SubBackward0>)
[2022-11-05 23:38:46.278113] Process 4. Episode 24500, average_reward -0.072000
Episode 24500: Total Loss of tensor([[3.3901]], grad_fn=<SubBackward0>)
[2022-11-05 23:38:59.386698] Process 2. Episode 23500, average_reward -0.074766
Episode 23500: Total Loss of tensor([[6.9724]], grad_fn=<SubBackward0>)
[2022-11-05 23:39:03.207658] Process 3. Episode 22950, average_reward -0.072157
Episode 22950: Total Loss of tensor([[21.7932]], grad_fn=<SubBackward0>)
[2022-11-05 23:39:23.278459] Process 0. Episode 23100, average_reward -0.069481
Episode 23100: Total Loss of tensor([[8.6736]], grad_fn=<SubBackward0>)
[2022-11-05 23:40:07.211023] Process 1. Episode 22600, average_reward -0.068938
Episode 22600: Total Loss of tensor([[0.8065]], grad_fn=<SubBackward0>)
[2022-11-05 23:40:25.806695] Process 5. Episode 23250, average_reward -0.070151
Episode 23250: Total Loss of tensor([[5.6104]], grad_fn=<SubBackward0>)
[2022-11-05 23:41:02.502999] Process 4. Episode 24550, average_reward -0.071935
Episode 24550: Total Loss of tensor([[15.0204]], grad_fn=<SubBackward0>)
[2022-11-05 23:41:29.355597] Process 2. Episode 23550, average_reward -0.074692
Episode 23550: Total Loss of tensor([[10.9142]], grad_fn=<SubBackward0>)
[2022-11-05 23:41:46.082780] Process 3. Episode 23000, average_reward -0.072130
Episode 23000: Total Loss of tensor([[12.9010]], grad_fn=<SubBackward0>)
[2022-11-05 23:41:47.541909] Process 0. Episode 23150, average_reward -0.069546
Episode 23150: Total Loss of tensor([[2.9418]], grad_fn=<SubBackward0>)
[2022-11-05 23:42:38.403144] Process 1. Episode 22650, average_reward -0.068874
Episode 22650: Total Loss of tensor([[-0.9913]], grad_fn=<SubBackward0>)
[2022-11-05 23:43:00.390498] Process 5. Episode 23300, average_reward -0.070172
Episode 23300: Total Loss of tensor([[1.6678]], grad_fn=<SubBackward0>)
[2022-11-05 23:43:26.009550] Process 4. Episode 24600, average_reward -0.071829
Episode 24600: Total Loss of tensor([[5.7892]], grad_fn=<SubBackward0>)
[2022-11-05 23:43:47.662218] Process 2. Episode 23600, average_reward -0.074576
Episode 23600: Total Loss of tensor([[-2.6258]], grad_fn=<SubBackward0>)
[2022-11-05 23:44:15.264263] Process 0. Episode 23200, average_reward -0.069569
Episode 23200: Total Loss of tensor([[3.6326]], grad_fn=<SubBackward0>)
[2022-11-05 23:44:17.833880] Process 3. Episode 23050, average_reward -0.072148
Episode 23050: Total Loss of tensor([[-134.0792]], grad_fn=<SubBackward0>)
[2022-11-05 23:45:14.091123] Process 1. Episode 22700, average_reward -0.068811
Episode 22700: Total Loss of tensor([[5.2154]], grad_fn=<SubBackward0>)
[2022-11-05 23:45:32.973021] Process 5. Episode 23350, average_reward -0.070193
Episode 23350: Total Loss of tensor([[8.7269]], grad_fn=<SubBackward0>)
[2022-11-05 23:45:51.153138] Process 4. Episode 24650, average_reward -0.071684
Episode 24650: Total Loss of tensor([[13.7818]], grad_fn=<SubBackward0>)
[2022-11-05 23:46:23.204700] Process 2. Episode 23650, average_reward -0.074588
Episode 23650: Total Loss of tensor([[21.8272]], grad_fn=<SubBackward0>)
[2022-11-05 23:46:38.001995] Process 3. Episode 23100, average_reward -0.072208
Episode 23100: Total Loss of tensor([[14.5553]], grad_fn=<SubBackward0>)
[2022-11-05 23:46:42.390822] Process 0. Episode 23250, average_reward -0.069634
Episode 23250: Total Loss of tensor([[10.6905]], grad_fn=<SubBackward0>)
[2022-11-05 23:47:51.795654] Process 1. Episode 22750, average_reward -0.068791
Episode 22750: Total Loss of tensor([[-0.3154]], grad_fn=<SubBackward0>)
[2022-11-05 23:48:01.062800] Process 5. Episode 23400, average_reward -0.070085
Episode 23400: Total Loss of tensor([[12.9516]], grad_fn=<SubBackward0>)
[2022-11-05 23:48:10.995691] Process 4. Episode 24700, average_reward -0.071619
Episode 24700: Total Loss of tensor([[6.9850]], grad_fn=<SubBackward0>)
[2022-11-05 23:48:47.089002] Process 2. Episode 23700, average_reward -0.074726
Episode 23700: Total Loss of tensor([[-19.6644]], grad_fn=<SubBackward0>)
[2022-11-05 23:49:02.422111] Process 3. Episode 23150, average_reward -0.072181
Episode 23150: Total Loss of tensor([[-19.5277]], grad_fn=<SubBackward0>)
[2022-11-05 23:49:17.872299] Process 0. Episode 23300, average_reward -0.069700
Episode 23300: Total Loss of tensor([[5.0668]], grad_fn=<SubBackward0>)
[2022-11-05 23:50:30.373295] Process 5. Episode 23450, average_reward -0.070064
Episode 23450: Total Loss of tensor([[-9.1906]], grad_fn=<SubBackward0>)
[2022-11-05 23:50:33.126329] Process 4. Episode 24750, average_reward -0.071758
Episode 24750: Total Loss of tensor([[13.8959]], grad_fn=<SubBackward0>)
[2022-11-05 23:50:36.538055] Process 1. Episode 22800, average_reward -0.068772
Episode 22800: Total Loss of tensor([[-21.3691]], grad_fn=<SubBackward0>)
[2022-11-05 23:51:15.569671] Process 2. Episode 23750, average_reward -0.074568
Episode 23750: Total Loss of tensor([[6.1792]], grad_fn=<SubBackward0>)
[2022-11-05 23:51:24.305070] Process 3. Episode 23200, average_reward -0.072112
Episode 23200: Total Loss of tensor([[6.2582]], grad_fn=<SubBackward0>)
[2022-11-05 23:51:52.871729] Process 0. Episode 23350, average_reward -0.069679
Episode 23350: Total Loss of tensor([[-0.6224]], grad_fn=<SubBackward0>)
[2022-11-05 23:52:57.622923] Process 4. Episode 24800, average_reward -0.071734
Episode 24800: Total Loss of tensor([[4.8374]], grad_fn=<SubBackward0>)
[2022-11-05 23:53:00.208082] Process 5. Episode 23500, average_reward -0.070000
Episode 23500: Total Loss of tensor([[7.1644]], grad_fn=<SubBackward0>)
[2022-11-05 23:53:07.437873] Process 1. Episode 22850, average_reward -0.068709
Episode 22850: Total Loss of tensor([[10.3700]], grad_fn=<SubBackward0>)
[2022-11-05 23:53:38.348231] Process 2. Episode 23800, average_reward -0.074496
Episode 23800: Total Loss of tensor([[5.6848]], grad_fn=<SubBackward0>)
[2022-11-05 23:53:48.230718] Process 3. Episode 23250, average_reward -0.072215
Episode 23250: Total Loss of tensor([[-14.2451]], grad_fn=<SubBackward0>)
[2022-11-05 23:54:16.535582] Process 0. Episode 23400, average_reward -0.069658
Episode 23400: Total Loss of tensor([[17.7811]], grad_fn=<SubBackward0>)
[2022-11-05 23:55:23.539258] Process 4. Episode 24850, average_reward -0.071670
Episode 24850: Total Loss of tensor([[4.2523]], grad_fn=<SubBackward0>)
[2022-11-05 23:55:35.620327] Process 5. Episode 23550, average_reward -0.070021
Episode 23550: Total Loss of tensor([[17.8073]], grad_fn=<SubBackward0>)
[2022-11-05 23:55:43.417383] Process 1. Episode 22900, average_reward -0.068821
Episode 22900: Total Loss of tensor([[-1.1778]], grad_fn=<SubBackward0>)
[2022-11-05 23:56:02.767513] Process 2. Episode 23850, average_reward -0.074549
Episode 23850: Total Loss of tensor([[17.5513]], grad_fn=<SubBackward0>)
[2022-11-05 23:56:11.369000] Process 3. Episode 23300, average_reward -0.072318
Episode 23300: Total Loss of tensor([[7.7308]], grad_fn=<SubBackward0>)
[2022-11-05 23:56:47.869908] Process 0. Episode 23450, average_reward -0.069723
Episode 23450: Total Loss of tensor([[11.0812]], grad_fn=<SubBackward0>)
[2022-11-05 23:57:47.043811] Process 4. Episode 24900, average_reward -0.071647
Episode 24900: Total Loss of tensor([[22.5797]], grad_fn=<SubBackward0>)
[2022-11-05 23:58:10.617300] Process 1. Episode 22950, average_reward -0.068845
Episode 22950: Total Loss of tensor([[2.9645]], grad_fn=<SubBackward0>)
[2022-11-05 23:58:17.994754] Process 5. Episode 23600, average_reward -0.070042
Episode 23600: Total Loss of tensor([[-29.8319]], grad_fn=<SubBackward0>)
[2022-11-05 23:58:25.107397] Process 2. Episode 23900, average_reward -0.074435
Episode 23900: Total Loss of tensor([[3.3039]], grad_fn=<SubBackward0>)
[2022-11-05 23:58:31.611389] Process 3. Episode 23350, average_reward -0.072420
Episode 23350: Total Loss of tensor([[-7.7936]], grad_fn=<SubBackward0>)
[2022-11-05 23:59:14.637375] Process 0. Episode 23500, average_reward -0.069787
Episode 23500: Total Loss of tensor([[1.0005]], grad_fn=<SubBackward0>)
[2022-11-06 00:00:11.068199] Process 4. Episode 24950, average_reward -0.071623
Episode 24950: Total Loss of tensor([[7.6259]], grad_fn=<SubBackward0>)
[2022-11-06 00:00:38.588457] Process 1. Episode 23000, average_reward -0.068870
Episode 23000: Total Loss of tensor([[16.6761]], grad_fn=<SubBackward0>)
[2022-11-06 00:00:46.826053] Process 2. Episode 23950, average_reward -0.074322
Episode 23950: Total Loss of tensor([[6.4462]], grad_fn=<SubBackward0>)
[2022-11-06 00:00:50.897801] Process 5. Episode 23650, average_reward -0.070106
Episode 23650: Total Loss of tensor([[25.1668]], grad_fn=<SubBackward0>)
[2022-11-06 00:00:53.233547] Process 3. Episode 23400, average_reward -0.072436
Episode 23400: Total Loss of tensor([[7.5927]], grad_fn=<SubBackward0>)
[2022-11-06 00:01:51.020652] Process 0. Episode 23550, average_reward -0.069894
Episode 23550: Total Loss of tensor([[13.6959]], grad_fn=<SubBackward0>)
[2022-11-06 00:02:34.084207] Process 4. Episode 25000, average_reward -0.071680
Episode 25000: Total Loss of tensor([[19.7345]], grad_fn=<SubBackward0>)
[2022-11-06 00:03:02.986754] Process 1. Episode 23050, average_reward -0.068850
Episode 23050: Total Loss of tensor([[8.8370]], grad_fn=<SubBackward0>)
[2022-11-06 00:03:06.290580] Process 2. Episode 24000, average_reward -0.074375
Episode 24000: Total Loss of tensor([[-1.7895]], grad_fn=<SubBackward0>)
[2022-11-06 00:03:24.901990] Process 5. Episode 23700, average_reward -0.070000
Episode 23700: Total Loss of tensor([[15.8660]], grad_fn=<SubBackward0>)
[2022-11-06 00:03:26.592797] Process 3. Episode 23450, average_reward -0.072623
Episode 23450: Total Loss of tensor([[-119.9870]], grad_fn=<SubBackward0>)
[2022-11-06 00:04:23.433667] Process 0. Episode 23600, average_reward -0.069958
Episode 23600: Total Loss of tensor([[18.9336]], grad_fn=<SubBackward0>)
[2022-11-06 00:04:56.783670] Process 4. Episode 25050, average_reward -0.071697
Episode 25050: Total Loss of tensor([[1.3226]], grad_fn=<SubBackward0>)
[2022-11-06 00:05:34.735183] Process 1. Episode 23100, average_reward -0.068874
Episode 23100: Total Loss of tensor([[-2.8247]], grad_fn=<SubBackward0>)
[2022-11-06 00:05:37.466811] Process 2. Episode 24050, average_reward -0.074304
Episode 24050: Total Loss of tensor([[18.6781]], grad_fn=<SubBackward0>)
[2022-11-06 00:05:51.667513] Process 5. Episode 23750, average_reward -0.069937
Episode 23750: Total Loss of tensor([[12.7085]], grad_fn=<SubBackward0>)
[2022-11-06 00:06:00.020490] Process 3. Episode 23500, average_reward -0.072596
Episode 23500: Total Loss of tensor([[25.5625]], grad_fn=<SubBackward0>)
[2022-11-06 00:07:00.768513] Process 0. Episode 23650, average_reward -0.070021
Episode 23650: Total Loss of tensor([[14.1661]], grad_fn=<SubBackward0>)
[2022-11-06 00:07:18.037392] Process 4. Episode 25100, average_reward -0.071793
Episode 25100: Total Loss of tensor([[14.6872]], grad_fn=<SubBackward0>)
[2022-11-06 00:08:04.139442] Process 1. Episode 23150, average_reward -0.068898
Episode 23150: Total Loss of tensor([[6.9343]], grad_fn=<SubBackward0>)
[2022-11-06 00:08:12.582060] Process 2. Episode 24100, average_reward -0.074315
Episode 24100: Total Loss of tensor([[3.4197]], grad_fn=<SubBackward0>)
[2022-11-06 00:08:16.803683] Process 5. Episode 23800, average_reward -0.069916
Episode 23800: Total Loss of tensor([[-10.9047]], grad_fn=<SubBackward0>)
[2022-11-06 00:08:32.741885] Process 3. Episode 23550, average_reward -0.072569
Episode 23550: Total Loss of tensor([[9.1829]], grad_fn=<SubBackward0>)
[2022-11-06 00:09:23.246257] Process 0. Episode 23700, average_reward -0.069958
Episode 23700: Total Loss of tensor([[4.2012]], grad_fn=<SubBackward0>)
[2022-11-06 00:09:39.279397] Process 4. Episode 25150, average_reward -0.071650
Episode 25150: Total Loss of tensor([[9.3258]], grad_fn=<SubBackward0>)
[2022-11-06 00:10:36.607026] Process 1. Episode 23200, average_reward -0.068879
Episode 23200: Total Loss of tensor([[-112.1455]], grad_fn=<SubBackward0>)
[2022-11-06 00:10:40.337155] Process 5. Episode 23850, average_reward -0.069895
Episode 23850: Total Loss of tensor([[-2.4791]], grad_fn=<SubBackward0>)
[2022-11-06 00:10:57.452596] Process 3. Episode 23600, average_reward -0.072627
Episode 23600: Total Loss of tensor([[-7.1972]], grad_fn=<SubBackward0>)
[2022-11-06 00:10:58.466888] Process 2. Episode 24150, average_reward -0.074369
Episode 24150: Total Loss of tensor([[-10.6174]], grad_fn=<SubBackward0>)
[2022-11-06 00:11:45.600670] Process 0. Episode 23750, average_reward -0.069895
Episode 23750: Total Loss of tensor([[12.3866]], grad_fn=<SubBackward0>)
[2022-11-06 00:11:57.480230] Process 4. Episode 25200, average_reward -0.071627
Episode 25200: Total Loss of tensor([[2.2164]], grad_fn=<SubBackward0>)
[2022-11-06 00:13:06.135935] Process 5. Episode 23900, average_reward -0.069874
Episode 23900: Total Loss of tensor([[4.2257]], grad_fn=<SubBackward0>)
[2022-11-06 00:13:07.606876] Process 1. Episode 23250, average_reward -0.068860
Episode 23250: Total Loss of tensor([[-101.0097]], grad_fn=<SubBackward0>)
[2022-11-06 00:13:29.674003] Process 3. Episode 23650, average_reward -0.072558
Episode 23650: Total Loss of tensor([[5.8248]], grad_fn=<SubBackward0>)
[2022-11-06 00:13:35.765548] Process 2. Episode 24200, average_reward -0.074339
Episode 24200: Total Loss of tensor([[-2.2774]], grad_fn=<SubBackward0>)
[2022-11-06 00:14:14.821240] Process 4. Episode 25250, average_reward -0.071525
Episode 25250: Total Loss of tensor([[-44.2040]], grad_fn=<SubBackward0>)
[2022-11-06 00:14:24.913748] Process 0. Episode 23800, average_reward -0.069916
Episode 23800: Total Loss of tensor([[1.4568]], grad_fn=<SubBackward0>)
[2022-11-06 00:15:32.150422] Process 5. Episode 23950, average_reward -0.069896
Episode 23950: Total Loss of tensor([[8.0517]], grad_fn=<SubBackward0>)
[2022-11-06 00:15:39.783630] Process 1. Episode 23300, average_reward -0.069013
Episode 23300: Total Loss of tensor([[-17.8024]], grad_fn=<SubBackward0>)
[2022-11-06 00:16:09.980357] Process 3. Episode 23700, average_reward -0.072658
Episode 23700: Total Loss of tensor([[5.4456]], grad_fn=<SubBackward0>)
[2022-11-06 00:16:20.872712] Process 2. Episode 24250, average_reward -0.074268
Episode 24250: Total Loss of tensor([[-1.2463]], grad_fn=<SubBackward0>)
[2022-11-06 00:16:36.618695] Process 4. Episode 25300, average_reward -0.071502
Episode 25300: Total Loss of tensor([[11.8972]], grad_fn=<SubBackward0>)
[2022-11-06 00:16:50.845215] Process 0. Episode 23850, average_reward -0.070021
Episode 23850: Total Loss of tensor([[-6.7190]], grad_fn=<SubBackward0>)
[2022-11-06 00:18:06.548404] Process 5. Episode 24000, average_reward -0.069792
Episode 24000: Total Loss of tensor([[3.5446]], grad_fn=<SubBackward0>)
[2022-11-06 00:18:14.829862] Process 1. Episode 23350, average_reward -0.068951
Episode 23350: Total Loss of tensor([[5.8683]], grad_fn=<SubBackward0>)
[2022-11-06 00:18:50.964903] Process 2. Episode 24300, average_reward -0.074444
Episode 24300: Total Loss of tensor([[-108.5195]], grad_fn=<SubBackward0>)
[2022-11-06 00:18:51.285708] Process 3. Episode 23750, average_reward -0.072632
Episode 23750: Total Loss of tensor([[2.5599]], grad_fn=<SubBackward0>)
[2022-11-06 00:18:56.301766] Process 4. Episode 25350, average_reward -0.071637
Episode 25350: Total Loss of tensor([[161.4507]], grad_fn=<SubBackward0>)
[2022-11-06 00:19:17.127942] Process 0. Episode 23900, average_reward -0.070000
Episode 23900: Total Loss of tensor([[12.0622]], grad_fn=<SubBackward0>)
[2022-11-06 00:20:35.414214] Process 5. Episode 24050, average_reward -0.069771
Episode 24050: Total Loss of tensor([[5.6081]], grad_fn=<SubBackward0>)
[2022-11-06 00:20:40.497376] Process 1. Episode 23400, average_reward -0.069017
Episode 23400: Total Loss of tensor([[20.2662]], grad_fn=<SubBackward0>)
[2022-11-06 00:21:17.833440] Process 4. Episode 25400, average_reward -0.071654
Episode 25400: Total Loss of tensor([[9.3970]], grad_fn=<SubBackward0>)
[2022-11-06 00:21:18.603781] Process 3. Episode 23800, average_reward -0.072563
Episode 23800: Total Loss of tensor([[10.1619]], grad_fn=<SubBackward0>)
[2022-11-06 00:21:22.863190] Process 2. Episode 24350, average_reward -0.074374
